ID_ART	Sep_2024	Oct_2024	Nov_2024	Dic_2024	Ene_2025	Feb_2025	Mar_2025	Abr_2025	May_2025	Jun_2025	Jul_2025	Ago_2025
SOSWM2-251	2,840665905	2,77658657	2,77658657	2,77658657	2,77658657	2,77658657	2,77658657	2,77658657	2,77658657	2,77658657	2,77658657	2,77658657
SOSWM3-315	27,69267532	14,82661183	9,804738095	22,06779365	13,5992785	9,553321429	32,71529762	13,69970707	9,522404762	21,20429365	13,2835285	9,368654762
SOSWP2-515	2,773601014	1,934600239	1,52924834	1,75751859	1,822604914	2,789897011	3,025246871	2,763481403	1,886708296	1,780627214	1,57032172	1,606337893
SOSWP2-516	2,166029635	4,020942297	3,145293274	2,816577971	3,812500487	3,214130267	2,992411995	2,946706058	3,167325151	3,192587777	3,135919345	3,225294848
SOSWSWC690	2,768256293	2,403988462	1,266176108	2,086063026	1,993728466	1,845796259	1,936256028	1,812782856	1,790352653	2,192245532	1,446618776	1,721198474
AUACKH160K	0	0	0	0	0	0	0	0	0	0	0	0
AUACKH80K	0	0	0	0	0	0	0	0	0	0	0	0
AUELME624DC	1	1	1	1	1	1	1	1	1	1	1	1
HEELBM3514	13	13	13	13	13	13	13	13	13	13	13	13
HEELBM5016	4	4	4	4	4	4	4	4	4	4	4	4
AUACAF31C	2,272727254	2,272727254	2,272727254	2,272727254	2,272727254	2,272727254	2,272727254	2,272727254	2,272727254	2,272727254	2,272727254	2,272727254
AUACALH2	7,110973479	6,738642132	8,706557226	8,832833825	8,627974655	8,627974655	8,627974655	8,627974655	8,627974655	8,627974655	8,627974655	8,627974655
AUACALK4	0,083810989	1,458438601	1,069197322	1,080809594	1,081323402	0,852209166	0,97453629	0,829565869	0,829565869	0,853107231	0,876134784	0,876134784
AUACAN4275	10,67263037	8,349053654	6,455315035	7,990850048	7,946119761	4,483862443	4,375059817	4,222167661	3,165104821	2,073981321	3,685892681	7,904978463
AUACBD1100	6,763606038	6,763606038	6,763606038	6,763606038	6,763606038	6,763606038	6,763606038	6,763606038	6,763606038	6,763606038	6,763606038	6,763606038
AUACBD850	15,317689	13,65943202	13,65943202	13,65943202	13,65943202	13,65943202	13,65943202	13,65943202	13,65943202	13,65943202	13,65943202	13,65943202
AUACEG500	6,866750878	2,448603776	5,35288055	3,817208155	1,433216863	4,449044484	2,175472787	2,097888726	3,394589427	3,53057957	1,593822301	3,790700263
AUACFC350	6,108253695	6,108253695	6,108253695	6,108253695	6,108253695	6,108253695	6,108253695	6,108253695	6,108253695	6,108253695	6,108253695	6,108253695
AUACKCP200C	4,465506749	6,416452616	8,883521867	7,143414313	8,883521867	7,143414313	8,883521867	7,143414313	8,883521867	7,143414313	8,883521867	7,143414313
